コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","trsf-rch","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー　 リッチフィット ピロー<br>ショップジャパン<br>","寝具\トゥルースリーパー ピローシリーズ","999999992","http://item.rakuten.co.jp/shopjapan/c/0000000424/","1"
"","trsf-rch_m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー  リッチフィット ピロー【複数購入用】【送料無料】","その他","999999999","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsf-wsh","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー　 ウォッシャブルフィット ピロー<br>ショップジャパン<br>","寝具\トゥルースリーパー ピローシリーズ","999999993","http://item.rakuten.co.jp/shopjapan/c/0000000424/","1"
"","trsfps02","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】トゥルースリーパー 低反発まくら ショップジャパン","その他","162900001","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsl-nmm","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《セール開催中！》公式／トゥルースリーパー プレミアム3.5 セミダブル2枚セット<br>今なら送料無料！60日間返品保証！<br>【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN_sps","寝具\トゥルースリーパー プレミアム3.5 低反発マットレス","161700005","http://item.rakuten.co.jp/shopjapan/c/0000000453/","1"
"","trsl-nmw","《セール開催中！》公式／トゥルースリーパー プレミアム3.5 セミダブル+ダブル2枚セット<br>今なら送料無料！60日間返品保証！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド_sps","寝具\トゥルースリーパー プレミアム3.5 低反発マットレス","161700009","http://item.rakuten.co.jp/shopjapan/c/0000000453/","1"
"","trsl-nmx","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《セール開催中！》公式／トゥルースリーパー プレミアム3.5(セミダブル)<br>今なら送料無料！60日間返品保証！<br>【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN_sps","その他","161700002","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsl-nsm","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《セール開催中！》公式／トゥルースリーパー プレミアム3.5 シングル+セミダブル2枚セット<br>今なら送料無料！60日間返品保証！<br>【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】","寝具\トゥルースリーパー プレミアム3.5 低反発マットレス","161700007","http://item.rakuten.co.jp/shopjapan/c/0000000453/","1"
"","trsl-nss","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《セール開催中！》公式／トゥルースリーパー プレミアム3.5 シングル2枚セット<br>今なら送料無料！60日間返品保証！<br>【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】","寝具\トゥルースリーパー プレミアム3.5 低反発マットレス","161700004","http://item.rakuten.co.jp/shopjapan/c/0000000453/","1"
"","trsl-nsw","《セール開催中！》公式／トゥルースリーパー プレミアム3.5 シングル+ダブル2枚セット<br>今なら送料無料！60日間返品保証！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド_sps","寝具\トゥルースリーパー プレミアム3.5 低反発マットレス","161700008","http://item.rakuten.co.jp/shopjapan/c/0000000453/","1"
"","trsl-nsx","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《セール開催中！》公式／トゥルースリーパー プレミアム3.5(シングル)<br>今なら送料無料！60日間返品保証！<br> シングル ショップジャパン公式 正規品 日本製 マットレス 寝具 低反発 ベッド_sps","その他","161700001","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsl-nww","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《セール開催中！》公式／トゥルースリーパー プレミアム3.5 ダブル2枚セット<br>今なら送料無料！60日間返品保証！<br>【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN_sps","寝具\トゥルースリーパー プレミアム3.5 低反発マットレス","161700006","http://item.rakuten.co.jp/shopjapan/c/0000000453/","1"
"","trsl-nwx","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>《セール開催中！》公式／トゥルースリーパー プレミアム3.5(ダブル)<br>今なら送料無料！60日間返品保証！<br>【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN_sps","その他","161700003","http://item.rakuten.co.jp/shopjapan/c/0000000001/",""
"","trsmf3dp","公式／トゥルースリーパー ライト3.5(セミダブル)ピロー付きセット<br>今なら送料無料＆腰まくら付き！特典付でもお値段そのまま！60日間返品保証！<br>【マットレス／低反発マットレス／ショップジャパン／SHOPJAPAN】","寝具\トゥルースリーパー プレミアム3.5 低反発マットレス","161700005","http://item.rakuten.co.jp/shopjapan/c/0000000453/","1"
"","trsp-c2m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>セミダブル+オリジナルカバー2枚セット<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","お知らせ\あす楽について","161200002","http://item.rakuten.co.jp/shopjapan/c/0000000655/",""
"","trsp-c2m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>セミダブル+オリジナルカバー2枚セット<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー プレミアム","161200002","http://item.rakuten.co.jp/shopjapan/c/0000000742/",""
"","trsp-c2m","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>セミダブル+オリジナルカバー2枚セット<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー 商品ラインナップ","161200002","http://item.rakuten.co.jp/shopjapan/c/0000000425/",""
"","trsp-c2q","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>クイーン+オリジナルカバー2枚セット<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","お知らせ\あす楽について","161200004","http://item.rakuten.co.jp/shopjapan/c/0000000655/",""
"","trsp-c2q","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>クイーン+オリジナルカバー2枚セット<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー プレミアム","161200004","http://item.rakuten.co.jp/shopjapan/c/0000000742/",""
"","trsp-c2q","【エントリーでポイント10倍！12/22（金）10時～12/25（月）9：59】<br>【正規品】 トゥルースリーパー プレミアム<br>クイーン+オリジナルカバー2枚セット<br>【送料無料＆低反発まくら付き！】<br>【True Sleeper】【マットレス】【低反発マットレス】","寝具\トゥルースリーパー 商品ラインナップ","161200004","http://item.rakuten.co.jp/shopjapan/c/0000000425/",""
