コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,在庫数
"","ntt-nxxx","NTT-NNCD","212401","99999"
"","ntt_1612","","212401","0"
"","ntt_nsxx","NTT-NSXX","212401","99999"
"","nue","NUE-BASC","212595","0"
"","nue-a","NUE-AST2","212595","99999"
"","nue-adpt","NUE-ADPT","100211","99925"
"","nue-an","NUE-NUPZ","212595","99992"
"","nue-an_test","NUE-UPGR001","212595","0"
"","nue-b","","212595",""
"","nue-basc-w","NUE-NWX0","212595","99990"
"","nue-bsca","NUE-BSCZ","212595","0"
"","nue-case","NUE-CASR","100211","0"
"","nue-case_up","NUE-CASR","100211","99995"
"","nue-e"," ","212595",""
"","nue-foot","NUE-FOOT","212595","99990"
"","nue-itoset","NUE-ITSR","100211","0"
"","nue-itoset_up","NUE-ITSR","100211","99995"
"","nue-rba","","212595",""
"","nue-rbb","","212595",""
"","nue-sp-w","NUE-RPP0","212595","99994"
"","nue001","NUE-BASC-TEST","212595","0"
"","nue_1612","","212595","0"
"","nue_test","NUE-BASC_002","212595","0"
"","nueh_1712_t","RAK-NUEH","101886","677"
"","obd-net2","OBD-NET1","508121","0"
"","okk-net1","OKK-NET1","508121","0"
"","omk-cd","OMK-NBNS","508121","99884"
"","omk-nset","OMK-NDNS","101978","99977"
"","opg","RAK-OPG0","302623","0"
"","out_awfm_1707","US-AWFM2","204695","87"
"","out_btw_1707","FK-NBTWX","204695","0"
"","out_crf_1707","CRF179OT","215927","75"
"","out_crv_1707","FK-CRV11","204695","6"
"","out_mgt_1707","US-ABMGT","204695","0"
"","out_nice_1707","US-NICEB","204695","0"
"","out_pus_1707","FK-NPUSX","204695","0"
"","out_sqc_1707","FK-SQC11","204695","7"
"","out_stp_1707","FK-STPSA","204695","0"
"","out_swcl_1707","FK-NSWCP","204695","11"
"","out_wds_1707","FK-NWDST","204695","0"
"","out_wgtxx_1709","FK-WGTXX","215267","10"
"","outlet_nmg","FK-NMGOU","216027","14"
"","outlet_pdiprodx","FK-PEDPR","401500","24"
"","outlet_smn","FK-SMNX1","212595","20"
"","pac-1wxx","PAC-2WXX","302623","0"
"","pdiprodx","PDIPRODX","401500","99984"
"","pin-05","","214753",""
"","pkp_set1","PKP-1470","501069","99993"
"","pkp_set2","PKP-1960","501069","99990"
"","psu","PSU-XXS0","302623","99999"
"","psu-bdv0","PSU-BDV0","508058","99999"
"","psu-fpxx","PSU-FXP0","302623","99999"
"","psu-mpxx","PSU-MXP0","302623","99999"
"","psu-mrn","PSU-NXXC","302623","99999"
"","psu-ss","PSU-EAGL","302623","93"
"","psu-ss2","PSU-EAGL","302623","15"
"","psu-ss3","PSU-EAGL","302623","15"
"","psu_l3"," ","302623",""
"","px000143","PX000143","401612","0"
"","px000144","PX000144","401612","0"
"","px000145","PX000145","401612","0"
"","px000146","PX000146","401612","0"
"","px000147","PX000147","401612","0"
"","px000152","PX000152","401612","0"
